timestamp,stage,sim_id,infer_id,obs_id,num_sims,num_obs,details,seconds,status
2025-11-11T14:55:57,plot_chains,sim_z1,infer_z1,obs_z1_lambda5,10000,50,existing plots,0.004235,skipped
2025-11-11T14:56:19,plot_chains,sim_z1,infer_z1,obs_z1_lambda5,10000,50,,1.656370,success
2025-11-11T14:56:29,plot_diagnostics,sim_z1,infer_z1,obs_z1_lambda5,10000,50,,3.585848,success
2025-11-11T14:56:38,plot_chains,sim_z1,infer_z1,obs_z1_lambda5,10000,376,,1.829925,success
2025-11-11T14:56:48,plot_diagnostics,sim_z1,infer_z1,obs_z1_lambda5,10000,376,,4.578695,success
2025-11-11T15:59:38,plot_chains,sim_z1,infer_z1,obs_z1_lambda5,10000,50,,1.845986,success
2025-11-11T15:59:49,plot_diagnostics,sim_z1,infer_z1,obs_z1_lambda5,10000,50,,3.735414,success
2025-11-11T15:59:57,plot_chains,sim_z1,infer_z1,obs_z1_lambda5,10000,376,,1.700766,success
2025-11-11T16:00:08,plot_diagnostics,sim_z1,infer_z1,obs_z1_lambda5,10000,376,,4.864309,success
2025-11-11T16:01:32,plot_chains,sim_z1,infer_z1,obs_z1_lambda5,10000,50,,1.680183,success
2025-11-11T16:01:42,plot_diagnostics,sim_z1,infer_z1,obs_z1_lambda5,10000,50,,3.541196,success
2025-11-11T16:01:50,plot_chains,sim_z1,infer_z1,obs_z1_lambda5,10000,376,,1.676548,success
2025-11-11T16:02:01,plot_diagnostics,sim_z1,infer_z1,obs_z1_lambda5,10000,376,,4.714188,success
2025-11-11T16:02:44,plot_chains,sim_z1,infer_z1,obs_z1_lambda5,10000,50,,2.044380,success
2025-11-11T16:02:54,plot_diagnostics,sim_z1,infer_z1,obs_z1_lambda5,10000,50,,3.613307,success
2025-11-11T16:03:02,plot_chains,sim_z1,infer_z1,obs_z1_lambda5,10000,376,,1.990348,success
2025-11-11T16:03:14,plot_diagnostics,sim_z1,infer_z1,obs_z1_lambda5,10000,376,,4.969894,success
2025-11-11T16:04:31,gen_simulations,sim_z1,,,10000,10,existing simulations,0.000024,skipped
2025-11-11T16:04:37,gen_observations,,,obs_z1_lambda5,,10,existing observations,0.000030,skipped
2025-11-11T16:04:44,gen_posterior,sim_z1,infer_z1,,10000,10,existing posterior,0.000038,skipped
2025-11-11T16:04:50,run_inference_total,sim_z1,infer_z1,obs_z1_lambda5,10000,10,existing inference,0.000028,skipped
2025-11-11T16:05:20,gen_simulations,sim_z1,,,10000,10,existing simulations,0.000033,skipped
2025-11-11T16:05:27,gen_observations,,,obs_z1_lambda5,,10,existing observations,0.000025,skipped
2025-11-11T16:05:33,gen_posterior,sim_z1,infer_z1,,10000,10,existing posterior,0.000032,skipped
2025-11-11T16:05:38,run_inference_total,sim_z1,infer_z1,obs_z1_lambda5,10000,10,existing inference,0.000028,skipped
2025-11-11T16:05:51,plot_chains,sim_z1,infer_z1,obs_z1_lambda5,10000,10,,6.665142,success
2025-11-11T16:06:01,plot_diagnostics,sim_z1,infer_z1,obs_z1_lambda5,10000,10,,3.389187,success
2025-11-11T16:07:04,plot_calibration,sim_z1,infer_z1,obs_z1_lambda5,10000,10,,56.198600,success
2025-11-11T16:07:10,gen_simulations,sim_z1_high_mc_scatter,,,10000,10,existing simulations,0.000026,skipped
2025-11-11T16:07:17,gen_observations,,,obs_z1_lambda5_high_mc_scatter,,10,existing observations,0.000024,skipped
2025-11-11T16:07:24,gen_posterior,sim_z1_high_mc_scatter,infer_z1_high_mc_scatter,,10000,10,existing posterior,0.000032,skipped
2025-11-11T16:07:30,run_inference_total,sim_z1_high_mc_scatter,infer_z1_high_mc_scatter,obs_z1_lambda5_high_mc_scatter,10000,10,existing inference,0.000030,skipped
2025-11-11T16:07:43,plot_chains,sim_z1_high_mc_scatter,infer_z1_high_mc_scatter,obs_z1_lambda5_high_mc_scatter,10000,10,,6.681410,success
2025-11-11T16:07:52,plot_diagnostics,sim_z1_high_mc_scatter,infer_z1_high_mc_scatter,obs_z1_lambda5_high_mc_scatter,10000,10,,3.224434,success
2025-11-11T16:08:55,plot_calibration,sim_z1_high_mc_scatter,infer_z1_high_mc_scatter,obs_z1_lambda5_high_mc_scatter,10000,10,,56.948266,success
2025-11-11T16:09:02,gen_simulations,sim_z1_high_noise,,,10000,10,existing simulations,0.000039,skipped
2025-11-11T16:09:11,gen_observations,,,obs_z1_lambda5_high_noise,,10,existing observations,0.000030,skipped
2025-11-11T16:09:18,gen_posterior,sim_z1_high_noise,infer_z1,,10000,10,existing posterior,0.000030,skipped
2025-11-11T16:09:25,run_inference_total,sim_z1_high_noise,infer_z1,obs_z1_lambda5_high_noise,10000,10,existing inference,0.000035,skipped
2025-11-11T16:09:39,plot_chains,sim_z1_high_noise,infer_z1,obs_z1_lambda5_high_noise,10000,10,,6.858396,success
2025-11-11T16:09:50,plot_diagnostics,sim_z1_high_noise,infer_z1,obs_z1_lambda5_high_noise,10000,10,,3.419280,success
2025-11-11T16:10:54,plot_calibration,sim_z1_high_noise,infer_z1,obs_z1_lambda5_high_noise,10000,10,,57.895713,success
2025-11-11T16:11:01,gen_simulations,sim_z1,,,10000,10,existing simulations,0.000028,skipped
